m m m m m s f f f f f
m m m m m f s f f f f
m m m m s f m f f f f
m m m s m f m f f f f
m m m f m s m f f f f
m m m f m f m s f f f
m m m f m f m f s f f
m m m f m f s f m f f
m m m f s f m f m f f
m m s f m f m f m f f
m s m f m f m f m f f
m f m s m f m f m f f
m f m f m s m f m f f
m f m f m f m s m f f
m f m f m f m f m s f
m f m f m f m f m f s
m f m f m f m f s f m
m f m f m f s f m f m
m f m f s f m f m f m
m f s f m f m f m f m
s f m f m f m f m f m
f s m f m f m f m f m
f f m s m f m f m f m
f f m f m s m f m f m
f f m f m f m s m f m
f f m f m f m f m s m
f f m f m f m f s m m
f f m f m f s f m m m
f f m f s f m f m m m
f f s f m f m f m m m
f f f s m f m f m m m
f f f f m s m f m m m
f f f f m f m s m m m
f f f f m f s m m m m
f f f f s f m m m m m
f f f f f s m m m m m
