14 80
0 7
0 1 12
1 2 15
2 3 11
3 4 18
4 5 14
5 6 16
6 7 13
7 8 17
8 9 10
9 10 19
10 11 12
11 12 15
12 13 14
13 0 11
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
1 3 1
1 4 1
1 5 1
1 6 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
2 4 1
2 5 1
2 6 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
3 5 1
3 6 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
4 6 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 1
6 8 1
6 9 1
6 10 1
6 11 1
6 12 1
6 13 1
8 10 1
8 11 1
8 12 1
8 13 1
9 11 1
9 12 1
9 13 1
10 12 1
10 13 1
11 13 1
