100 100
0 90
0 1 100
1 2 100
2 3 100
3 4 100
4 5 100
5 6 100
6 7 100
7 8 100
8 9 100
9 19 100
19 18 100
18 17 100
17 16 100
16 15 100
15 14 100
14 13 100
13 12 100
12 11 100
11 10 100
10 20 100
20 21 100
21 22 100
22 23 100
23 24 100
24 25 100
25 26 100
26 27 100
27 28 100
28 29 100
29 39 100
39 38 100
38 37 100
37 36 100
36 35 100
35 34 100
34 33 100
33 32 100
32 31 100
31 30 100
30 40 100
40 41 100
41 42 100
42 43 100
43 44 100
44 45 100
45 46 100
46 47 100
47 48 100
48 49 100
49 59 100
59 58 100
58 57 100
57 56 100
56 55 100
55 54 100
54 53 100
53 52 100
52 51 100
51 50 100
50 60 100
60 61 100
61 62 100
62 63 100
63 64 100
64 65 100
65 66 100
66 67 100
67 68 100
68 69 100
69 79 100
79 78 100
78 77 100
77 76 100
76 75 100
75 74 100
74 73 100
73 72 100
72 71 100
71 70 100
70 80 100
80 81 100
81 82 100
82 83 100
83 84 100
84 85 100
85 86 100
86 87 100
87 88 100
88 89 100
89 99 100
99 98 100
98 97 100
97 96 100
96 95 100
95 94 100
94 93 100
93 92 100
92 91 100
91 90 100
0 91 1
