96 100
84 91
91 67 1
4 93 20
66 38 9
69 86 15
32 80 3
5 24 6
23 39 22
83 20 35
11 75 18
54 75 18
2 46 13
14 81 7
44 42 29
31 35 10
34 7 16
31 28 11
3 35 10
9 33 23
37 76 33
18 40 20
36 23 23
49 89 11
21 6 3
26 33 22
64 29 24
57 92 33
17 13 14
1 26 21
32 45 4
14 3 9
20 0 34
37 8 34
40 39 21
17 28 12
84 8 35
93 85 22
15 68 19
49 41 10
83 43 37
19 73 38
53 87 29
84 61 41
94 42 29
18 77 19
44 47 30
70 56 17
22 89 4
91 48 2
55 72 6
43 73 38
5 6 4
82 50 26
65 41 9
47 79 31
45 72 5
50 94 28
16 2 11
7 56 16
80 67 2
54 4 20
88 61 40
58 24 6
0 92 33
21 48 2
60 63 17
52 10 15
71 25 28
16 38 10
30 65 8
15 60 18
81 24 6
12 36 24
1 68 20
77 70 18
25 87 29
88 19 39
30 55 7
62 9 23
38 52 5
34 78 14
13 86 15
85 27 22
66 22 8
62 59 25
51 89 12
74 51 13
63 10 16
22 58 7
90 53 30
24 65 3
95 64 25
69 11 17
95 71 27
52 74 14
84 59 26
78 46 13
12 82 26
29 27 23
90 57 32
79 76 32
