11 5
70 157 233
183 0 222
222 38 21
12 126 116
52 67 242
140 27 30
37 11 245
173 25 169
191 111 116
84 210 245
153 88 234
200 143 55
136 118 212
139 206 140
176 115 224
110 234 31
176 30 212
76 103 92
24 152 131
64 246 144
105 138 82
30 114 37
137 107 178
187 4 163
72 153 59
105 252 164
199 81 131
85 162 180
33 76 240
141 176 246
179 71 127
68 33 68
57 145 1
187 228 127
107 244 25
48 3 205
32 173 154
221 119 164
12 20 230
156 251 37
52 250 185
187 7 187
35 4 120
246 48 106
162 12 107
4 232 172
154 240 72
35 109 3
91 212 206
217 55 13
92 155 148
218 134 233
196 175 236
92 12 253
84 40 125
